Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Rating Category,Value Score,Price Category,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Product URL,Scraped Date
"Itel City 200 4G, 6.78"", 4GB RAM + 128GB, 5200mAh - Silver",Itel,15700,17000,7.6,FALSE,4.366666667,Good,0.278,Mid-Range (15k-30k),N/A,4,5200,N/A,https://www.jumia.co.ke/itel-city-200-4g-6.78-4gb-ram-128gb-5200mah-silver-1yr-wrty-327945395.html,07/23/26 19:50
"Itel A06, 6.6"" HD+, 64GB + 2GB RAM (Dual SIM) - Black",Itel,8720,10000,12.8,FALSE,4.366666667,Good,0.501,Entry (5k-15k),N/A,2,N/A,N/A,https://www.jumia.co.ke/itel-a06-6.6-hd-64gb-2gb-ram-dual-sim-black-327945393.html,07/23/26 19:50
"Poco C85, 6.9"", 128GB + 6GB RAM (Dual SIM), 6000mAh, 4G - Black",Xiaomi,16800,18000,6.7,FALSE,4.3,Good,0.256,Mid-Range (15k-30k),N/A,6,6000,N/A,https://www.jumia.co.ke/poco-c85-6.9-128gb-6gb-ram-dual-sim-6000mah-4g-black25-months-warranty-325670986.html,07/23/26 19:47
"Tecno Spark 50 4G, 6.78'', 128GB + 4GB RAM (+8GB Extended), 7000mAh (Dual SIM)- Black",Tecno,16570,18000,7.9,FALSE,4.3,Good,0.26,Mid-Range (15k-30k),N/A,4,7000,N/A,https://www.jumia.co.ke/tecno-spark-50-4g-6.78-128gb-4gb-ram-8gb-extended-7000mah-dual-sim-black-327639441.html,07/23/26 19:47
"Samsung Galaxy A26 5G, 6.7'' 8GB RAM + 256GB ROM, 50MP",Samsung,32899,59569,44.8,FALSE,4.3,Good,0.131,Premium (30k-50k),256,8,N/A,50,https://www.jumia.co.ke/samsung-galaxy-a26-5g-6.7-8gb-ram-256gb-rom-50mp-free-gifts-325561238.html,07/23/26 19:47
"LESIA L287 2.8"" Trip Sim 2500mah feature phone with Camera",Lesia,899,1246,27.8,FALSE,4.3,Good,4.783,Budget (<5k),N/A,N/A,2500,N/A,https://www.jumia.co.ke/lesia-l287-2.8-trip-sim-2500mah-feature-phone-with-camera-326946396.html,07/23/26 19:48
"Oppo A6x, 6.75"" 4GB RAM+256GB ROM, Snapdragon® 685 4G, 120Hz, 6500mAh (Dual Sim) Ice Blue",Oppo,20447,21999,7.1,FALSE,4.3,Good,0.21,Mid-Range (15k-30k),256,4,6500,N/A,https://www.jumia.co.ke/oppo-a6x6.75-4gb-ram256gb-rom-snapdragonr-685-4g120hz-6500mah-dual-sim-ice-blue-2yrs-wrty-326546575.html,07/23/26 19:48
"XIAOMI Redmi Note 15, 6.8"", 6GB RAM + 128GB, 6000mAh, Black",Xiaomi,27110,30000,9.6,FALSE,4.3,Good,0.159,Mid-Range (15k-30k),N/A,6,6000,N/A,https://www.jumia.co.ke/xiaomi-redmi-note-15-6.8-6gb-ram-128gb-6000mah-black-25-months-warranty-327051273.html,07/23/26 19:47
"Redmi 15C, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black",Xiaomi,20840,23000,9.4,FALSE,4.3,Good,0.206,Mid-Range (15k-30k),N/A,8,6000,N/A,https://www.jumia.co.ke/redmi-15c-byxiaomi-4g-6.9-8gb-ram-256gb-6000mah-black-25-months-warranty-327673478.html,07/23/26 19:47
"XIAOMI Xiaomi Redmi Note 15 Pro - 6.83"" AMOLED, 256GB, 8GB RAM, 4G, 50MP Camera",Xiaomi,33850,50000,32.3,FALSE,4.3,Good,0.127,Premium (30k-50k),N/A,8,N/A,50,https://www.jumia.co.ke/xiaomi-redmi-note-15-pro-6.83-amoled-256gb-8gb-ram-5g-50mp-camera-xiaomi-mpg10320557.html,07/23/26 19:47
"Redmi 15C, 6.9"", Up to 4GB + 4GB Extended RAM + 128GB Storage, 6000mAh (Dual Sim) 1 Year warranty",Xiaomi,15545,31999,51.4,FALSE,4.3,Good,0.277,Mid-Range (15k-30k),128,N/A,6000,N/A,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-up-to-4gb-4gb-extended-ram-128gb-storage-6000mah-dual-sim-1-year-warranty-325508457.html,07/23/26 19:47
"Redmi A7 PRO, 4GB RAM + 64GB, 50MP, 6.9"", 6000mAh, Dual Sim, - BLUE",Xiaomi,12399,15099,17.9,FALSE,4.3,Good,0.347,Entry (5k-15k),N/A,4,6000,50,https://www.jumia.co.ke/redmi-a7-pro-by-xiaomi-4gb-ram-64gb-50mp-6.9-6000mah-dual-sim-12-months-warranty-blue-327543048.html,07/23/26 19:47
"LESIA L253 2.4"" Dual Sim 3000mah feature phone with Camera",Lesia,910,1191,23.6,FALSE,4.3,Good,4.725,Budget (<5k),N/A,N/A,3000,N/A,https://www.jumia.co.ke/lesia-l253-2.4-dual-sim-3000mah-feature-phone-with-camera-326633767.html,07/23/26 19:48
"Samsung Galaxy A56 5G, 6.7"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Graphite",Samsung,52500,53600,2.1,FALSE,4.3,Good,0.082,Luxury (>50k),N/A,8,5000,N/A,https://www.jumia.co.ke/galaxy-a56-5g-6.7-128gb-8gb-ram-dual-sim-5000mah-awesomegraphite-samsung-mpg8632758.html,07/23/26 19:47
"XIAOMI Redmi A5 4G, 6.88"", 3GB RAM + 64GB, 5200mAh, Dual SIM - Green",Xiaomi,10600,13000,18.5,FALSE,4.3,Good,0.406,Entry (5k-15k),N/A,3,5200,N/A,https://www.jumia.co.ke/xiaomi-redmi-a5-4g-6.88-3gb-ram-64gb-5200mah-dual-sim-green-328084295.html,07/23/26 19:47
"LESIA L258 2.4"" Dual Sim 1500mah feature phone with Camera",Lesia,899,1414,36.4,FALSE,4.246153846,Good,4.723,Budget (<5k),N/A,N/A,1500,N/A,https://www.jumia.co.ke/lesia-l258-2.4-dual-sim-1500mah-feature-phone-with-camera-326633769.html,07/23/26 19:49
"Redmi 15C, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black",Xiaomi,14699,16800,12.5,FALSE,4.2,Good,0.286,Entry (5k-15k),N/A,4,6000,N/A,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,07/23/26 19:47
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh",Samsung,17990,25000,28,FALSE,4.2,Good,0.233,Mid-Range (15k-30k),N/A,4,5000,N/A,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-4gb-ram-128gb-dual-sim-5000mah-free-gifts-grey-299889178.html,07/23/26 19:51
"Samsung Galaxy A16, 4GB RAM + 128GB ROM 6.7"", Android 14, 5000mAh - Light Gray",Samsung,17099,39999,57.3,FALSE,4.2,Good,0.246,Mid-Range (15k-30k),128,4,5000,N/A,https://www.jumia.co.ke/samsung-galaxy-a16-4gb-ram-128gb-rom-6.7-android-145000mah-light-gray-296934715.html,07/23/26 19:51
"XIAOMI Redmi A7, 5.45"", 64GB + 3GB RAM (Dual Sim), 4000mAh - Black",Xiaomi,12290,14000,12.2,FALSE,4.183333333,Good,0.34,Entry (5k-15k),N/A,3,4000,N/A,https://www.jumia.co.ke/xiaomi-redmi-a7-5.45-64gb-3gb-ram-dual-sim-4000mah-black-328787564.html,07/23/26 19:51
"XIAOMI Redmi A7, 5.45"", 64GB + 3GB RAM (Dual Sim), 4000mAh - Blue",Xiaomi,12290,14000,12.2,FALSE,4.183333333,Good,0.34,Entry (5k-15k),N/A,3,4000,N/A,https://www.jumia.co.ke/xiaomi-redmi-a7-5.45-64gb-3gb-ram-dual-sim-4000mah-blue-327531879.html,07/23/26 19:51
